City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,chernyshevskiy,63.0128,112.4714,-0.38,100,100,0.82,RU,1713792181
83,udachny,66.4167,112.4,-0.35,99,100,1.18,RU,1713792182
84,cannonvale,-20.2833,148.7,23.39,84,99,9.45,AU,1713792183
85,bilkha,21.4333,70.6,33.82,24,0,8.17,IN,1713792184
86,kankan,10.3854,-9.3057,36.81,31,89,0.96,GN,1713792184
87,kayyerkan,69.3786,87.7439,-16.56,97,59,2.43,RU,1713792185
88,colonia,50.9333,6.95,10.24,35,100,4.17,DE,1713792186
89,suez,29.9737,32.5263,33.19,10,29,4.66,EG,1713792187
90,avarua,-21.2078,-159.775,25.78,74,37,7.07,CK,1713792188
91,puerto ayora,-0.7393,-90.3518,24.62,90,95,3.37,EC,1713792189
92,rundu,-17.9333,19.7667,32.98,13,0,3.91,NA,1713792190
93,prince albert,53.2001,-105.7677,4.16,87,100,2.31,CA,1713792191
94,ouesso,1.6136,16.0517,32.96,52,88,1.12,CG,1713792191
95,kiama,-34.6833,150.8667,16.37,81,0,3.57,AU,1713792192
96,itamaraju,-17.0392,-39.5311,27.6,69,54,2.56,BR,1713792193
97,siwa oasis,29.2041,25.5195,36.37,5,100,7.62,EG,1713792194
98,novopskov,49.5464,39.0899,18.53,29,42,4.93,UA,1713792195
99,cepu,-7.1475,111.5906,25.98,88,100,1.96,ID,1713792196
100,pangody,65.85,74.4859,-10.26,92,100,7.49,RU,1713792197
101,petropavlovsk-kamchatsky,53.0452,158.6483,0.65,81,7,2.22,RU,1713792150
102,revda,56.801,59.9303,17.96,49,73,3.13,RU,1713792198
103,happy valley-goose bay,53.3168,-60.3315,5.23,59,100,3.24,CA,1713791909
104,college,64.8569,-147.8028,1.39,96,100,0.59,US,1713791909
105,haiku-pauwela,20.9219,-156.3051,21.05,78,69,6.54,US,1713792201
106,hawaiian paradise park,19.5933,-154.9731,21.21,84,99,4.25,US,1713792202
107,aasiaat,68.7098,-52.8699,0.59,91,100,3.46,GL,1713792203
108,ca mau,9.1769,105.15,28.92,66,100,2.08,VN,1713792205
109,alice springs,-23.7,133.8833,18.65,50,34,2.61,AU,1713792158
110,belyy yar,53.6039,91.3903,6.43,65,94,5.48,RU,1713792207
111,chegdomyn,51.1167,133.0167,7.09,69,100,1.46,RU,1713791755
112,kloulklubed,7.0419,134.2556,28.92,82,100,7.68,PW,1713792209
113,ilhabela,-23.7781,-45.3581,25.62,61,0,1.3,BR,1713791654
114,musaffah,24.3458,54.5024,31.15,43,7,4.29,AE,1713792210
115,namibe,-15.1961,12.1522,28.19,62,79,5.41,AO,1713792211
116,aswan,24.0934,32.907,38.41,6,0,6.07,EG,1713792212
117,tura,25.5198,90.2201,27.18,32,100,1.55,IN,1713792213
118,marsa alam,25.0757,34.8918,28.88,43,0,6.48,EG,1713792214
119,lautoka,-17.6167,177.4667,26.17,89,100,2.24,FJ,1713792215
120,punta arenas,-53.15,-70.9167,5.74,82,55,4.66,CL,1713792216
121,qina,26.1642,32.7267,37.82,4,0,3.64,EG,1713792216
122,vernon,50.2581,-119.2691,0.83,87,16,0.79,CA,1713792217
123,weno,7.4515,151.8468,28.65,81,15,7.99,FM,1713792218
124,vorgashor,67.5833,63.95,-10.31,89,98,4.99,RU,1713792219
125,dalandzadgad,43.5708,104.425,6.19,31,8,7.03,MN,1713792220
126,wailua homesteads,22.0669,-159.378,20.92,69,51,6.19,US,1713792221
127,aldan,58.6031,125.3894,-0.03,97,100,1.62,RU,1713792222
128,anori,-3.7728,-61.6442,26.0,88,94,1.76,BR,1713792222
129,firuzabad,28.8438,52.5707,24.31,28,2,6.45,IR,1713792223
130,carnarvon,-24.8667,113.6333,23.63,75,100,11.6,AU,1713792224
131,kristiansund,63.1115,7.732,3.79,88,100,4.96,NO,1713792225
132,dwarka,22.2394,68.9678,27.47,73,0,6.53,IN,1713792226
133,nova xavantina,-14.6667,-52.35,25.92,80,47,1.76,BR,1713792227
134,williamson,30.6502,-97.6003,10.77,72,100,2.72,US,1713792228
135,kerrville,30.0474,-99.1403,10.76,64,98,1.74,US,1713792229
136,phan thiet,10.9333,108.1,26.9,77,0,1.42,VN,1713792230
137,cambria,35.5641,-121.0808,11.58,95,95,1.74,US,1713792230
138,saipan,15.1355,145.701,28.07,74,4,7.47,MP,1713791746
139,emerald,-23.5333,148.1667,20.62,59,0,4.87,AU,1713792232
140,cova figueira,14.8905,-24.2934,17.57,71,69,4.35,CV,1713792233
141,vung tau,10.346,107.0843,28.47,73,4,5.09,VN,1713792234
142,bilibino,68.0546,166.4372,-18.4,94,79,1.47,RU,1713792235
143,coquimbo,-29.9533,-71.3436,16.79,75,5,2.03,CL,1713792107
144,flying fish cove,-10.4217,105.6791,28.69,80,99,8.13,CX,1713792237
145,iskateley,67.6803,53.1512,-6.73,91,72,2.56,RU,1713792238
146,masterton,-40.9597,175.6575,7.9,93,65,2.45,NZ,1713792239
147,tabou,4.423,-7.3528,31.82,62,100,3.43,CI,1713792240
148,invercargill,-46.4,168.35,5.18,91,30,2.78,NZ,1713792241
149,ozalp,38.6548,43.993,16.03,29,7,7.12,TR,1713792242
150,turinsk,58.0458,63.696,11.2,47,25,5.58,RU,1713792242
151,papatowai,-46.5619,169.4708,8.29,81,8,4.52,NZ,1713792243
152,tolanaro,-25.0319,46.9987,23.73,75,83,2.82,MG,1713791661
153,dunedin,-45.8742,170.5036,7.66,80,2,3.92,NZ,1713791979
154,mersa matruh,31.3525,27.2453,27.76,36,100,6.31,EG,1713792248
155,dryden,49.7833,-92.7503,4.62,57,100,2.57,CA,1713791735
156,hotan,37.0997,79.9269,24.89,10,6,3.75,CN,1713792249
157,prince george,53.9166,-122.753,0.54,82,73,2.8,CA,1713792004
158,kayangel,8.0823,134.7173,28.95,80,92,8.69,PW,1713791672
159,kolonia town,6.964,158.206,28.64,78,29,9.68,FM,1713792252
160,vila franca do campo,37.7167,-25.4333,17.54,81,100,0.86,PT,1713792253
161,moncton,46.1159,-64.8019,6.19,60,11,7.14,CA,1713792253
162,vrontados,38.4089,26.1328,19.25,67,100,3.14,GR,1713792254
163,vadso,70.0744,29.7487,-5.33,74,70,8.56,NO,1713792255
164,afaahiti,-17.75,-149.2833,26.21,81,94,2.86,PF,1713792257
165,kapsan-up,41.0903,128.2933,5.09,80,99,2.07,KP,1713792258
166,jamestown,42.097,-79.2353,5.0,54,3,2.65,US,1713792259
167,port shepstone,-30.7414,30.455,24.36,84,100,2.62,ZA,1713792259
168,barra de santo antonio,-9.4047,-35.5072,27.81,77,99,1.79,BR,1713792260
169,luderitz,-26.6481,15.1594,21.69,67,11,5.96,NA,1713792261
170,stanley,54.868,-1.6985,8.09,93,100,2.27,GB,1713792262
171,ilulissat,69.2167,-51.1,2.15,94,100,1.91,GL,1713792263
172,yuzhno-kurilsk,44.0306,145.8556,1.97,98,100,3.24,RU,1713792264
173,yungay,-9.1383,-77.7436,16.23,73,30,2.05,PE,1713792265
174,beni,0.5,29.4667,32.99,30,17,1.25,CD,1713792266
175,saint-mihiel,48.8875,5.551,9.06,48,100,4.71,FR,1713792267
176,constantia,44.1833,28.65,10.73,79,100,4.47,RO,1713792267
177,aksuat,48.7167,83.7,17.93,53,29,3.95,KZ,1713792268
178,pisco,-13.7,-76.2167,21.32,84,4,1.59,PE,1713792269
179,holualoa,19.6228,-155.9522,21.9,70,67,1.99,US,1713791695
180,nenjiang,49.1833,125.2167,9.49,88,100,3.0,CN,1713792271
181,dhidhdhoo,6.8833,73.1,30.24,75,17,4.8,MV,1713792272
182,nuuk,64.1835,-51.7216,1.43,76,100,7.11,GL,1713792273
183,gargalianoi,37.0667,21.6333,21.57,43,100,9.8,GR,1713792273
184,banda aceh,5.5577,95.3222,28.3,75,45,2.9,ID,1713792274
